home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
MAL,VAL,2008/2009,4,9/25/08 0:00,0,2,33826,33843,25913,41707,38479,38151,150491,45744,37450,11758,43310,19435,34007,34029,37479,34575,2802,30666,38701,41468,,30909
SPG,VIL,2008/2009,5,9/27/08 0:00,0,1,33630,74743,75608,33895,74752,33887,33611,97334,38004,24383,34582,41466,30279,,56678,40599,38362,30958,32043,47373,37477,38551
BET,REA,2008/2009,5,9/27/08 0:00,1,2,46531,31303,30750,33655,115297,42173,25571,38578,33665,37422,22234,30657,30962,25921,30670,28467,30840,37259,,34602,30655,30834
ESP,BAR,2008/2009,5,9/27/08 0:00,1,2,25563,28439,38385,33768,45440,24099,18592,33773,24852,37429,32764,32657,33988,30661,37482,30738,39854,154257,30955,30981,30626,33074
VAL,COR,2008/2009,5,9/28/08 0:00,4,2,19435,34007,34029,37479,34008,37824,30666,30448,41468,34231,30909,33018,111190,37451,34104,41167,37793,37449,37447,37441,31045,34956
NUM,OSA,2008/2009,5,9/28/08 0:00,0,0,75195,75199,,38561,74435,38008,,102374,38550,74721,38526,24591,38534,11778,33865,72541,26044,42369,38424,30744,30907,96615
SAN,MAL,2008/2009,5,9/28/08 0:00,1,2,37579,33896,37581,80497,18664,33634,33637,37512,33892,150644,38382,33845,24131,30276,33849,33861,38160,37631,37491,37411,38398,33028
AMA,SEV,2008/2009,5,9/28/08 0:00,0,1,39989,37413,33636,30689,32656,33632,108568,33871,30832,37412,38700,33986,38148,33812,38138,33848,34000,33759,33991,31014,38139,34106
BIL,GET,2008/2009,5,9/28/08 0:00,0,1,33764,33025,33993,37604,154938,33866,30287,30277,37408,96620,33030,75390,42200,37470,37427,37468,37469,30468,37471,37461,37506,37474
ALM,HUE,2008/2009,5,9/28/08 0:00,1,0,96613,74403,74663,18501,37622,4902,5243,41469,38581,46384,75310,33958,,42310,37440,37423,75398,74747,37448,38035,102572,
MAL,VAL,2008/2009,5,9/28/08 0:00,2,1,33826,33843,25913,41707,38479,38151,150491,37450,45744,11758,43310,96623,37597,43374,37672,2790,33820,38431,56867,6911,33729,25551
