home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,past_perf_home,past_perf_away,home_player_avg,away_player_avg
ESP,VIL,2008/2009,7,10/18/08 0:00,0,0,78.22727273,73.05555556,75.33333333,75.64285714,64,68.61111111,70.57142857,74.125,79.5,77.63636364,72.9047619,81.24,70.71428571,79.47368421,80.13636364,73.80952381,75.9047619,79.76923077,78.14814815,80,81.02702703,73.4,1,1.5,30826.27273,35870.36364
BET,MAL,2008/2009,7,10/19/08 0:00,3,0,69.91304348,71.18181818,75.88888889,68.11111111,64.375,74.625,71.28571429,71.12,75,75.94444444,71.26086957,76.08695652,70.71428571,75.44444444,74.875,68.23076923,71.52941176,72.82352941,71.77777778,76.08,76.64705882,75.08695652,0.666666667,1.1,32461.27273,32473.45455
SPG,OSA,2008/2009,7,10/19/08 0:00,2,1,70.85,66.11111111,67.55555556,65.8,70.36,68,70.83333333,67.3,71.1,74.52631579,70.71428571,74,75.07692308,69.57142857,73.55,68.89285714,77.94444444,73.42857143,75.63636364,72.66666667,70.48,71.14285714,1.333333333,0.333333333,47258.81818,42948.18182
SAN,COR,2008/2009,7,10/19/08 0:00,0,0,74.44444444,72,80.93333333,74.11764706,72.82758621,73.63157895,68.69230769,72.59090909,70.90909091,63.85714286,71.59259259,76.625,70.51851852,74.77272727,75.38888889,79.66666667,70.71428571,69.15,66.80769231,72.8,75.28,74.8,0.666666667,0.833333333,35584.90909,35798.27273
VAL,NUM,2008/2009,7,10/19/08 0:00,4,0,72.33333333,77.75,80.73076923,76.16666667,74.96296296,80.42105263,77.33333333,78.25,83.58823529,80.2,84.29166667,71.14285714,66.92307692,0,68.5,69.05555556,66.52941176,66.92,0,74.03846154,66.79310345,70.2,1.4,0.833333333,31077.09091,
VAL,HUE,2008/2009,7,10/19/08 0:00,1,1,76.82608696,72.16129032,71.28571429,69.38888889,70.2,77.44444444,72.48,71.8,72.5,70.42857143,70.09756098,71.82352941,67.89655172,71.15789474,74,64.6,75.83333333,69.36842105,68.875,0,71.43243243,76.82608696,1.8,0.333333333,38927.63636,
BIL,BAR,2008/2009,7,10/19/08 0:00,0,1,76.92,77.76666667,74.2,76.1875,73.08695652,73.53846154,79.16666667,71.26315789,65.57142857,73.22222222,80.61904762,83.63636364,84.2,76.42857143,83.57142857,79.52631579,71.13636364,85.02702703,78.38461538,88.32,83.77777778,79.45833333,0.666666667,3,42069.72727,36444.54545
ALM,SEV,2008/2009,7,10/19/08 0:00,0,1,79.38095238,69.02941176,73.88888889,69.22222222,69.66666667,70,71.86956522,69.75,69.96153846,68.84615385,81.27027027,77.76923077,74.93548387,64.5,78.7,75,75.14285714,72.36666667,83.20588235,74.76923077,77.25925926,71.5,1.5,2,42712.63636,31480
MAL,GET,2008/2009,7,10/19/08 0:00,2,1,68.28571429,75.85185185,67.57142857,74.60869565,70.375,67.85714286,70.77777778,73.90625,65.5,74.10714286,75.87096774,80.42857143,70.75,73.72222222,77.65625,68.36,74.8,74.51851852,73,76.83333333,72.82608696,81.43243243,1.1,1.166666667,36596.72727,33041.81818
OSA,BET,2008/2009,8,10/25/08 0:00,0,2,74,75.07692308,73.55,72.22222222,68.89285714,77.94444444,73.42857143,75.63636364,72.66666667,71.14285714,70.48,69.91304348,71.18181818,68.11111111,75.88888889,64.375,74.625,75,71.12,71.28571429,75.94444444,71.26086957,0.428571429,1,38474,32461.27273
BAR,ALM,2008/2009,8,10/25/08 0:00,5,0,83.63636364,84.2,85.88888889,76.42857143,79.52631579,87.63636364,85.02702703,88.32,92.19230769,83.77777778,79.45833333,79.38095238,69.02941176,71.1,69.22222222,67.72727273,68.84615385,69.75,69.96153846,71.86956522,71.15384615,81.27027027,2.714285714,1.285714286,30075.27273,50488.45455
SEV,MAL,2008/2009,8,10/26/08 0:00,0,1,77.76923077,66.92307692,75.7,78.7,75,72.36666667,75.14285714,83.20588235,75.75,77.25925926,81.72,68.28571429,75.85185185,67.57142857,74.60869565,70.375,67.85714286,70.77777778,73.90625,65.5,72.22222222,75.87096774,1.857142857,1.2,30906.27273,36649
COR,SPG,2008/2009,8,10/26/08 0:00,0,3,76.625,70.51851852,74.77272727,75.38888889,79.66666667,70.71428571,69.15,66.80769231,75.28,79.17647059,74.55555556,70.85,66.11111111,67.55555556,65.8,70.36,70.83333333,71.29411765,67.3,71.1,74.52631579,72.68571429,0.714285714,1.428571429,35216.09091,51305.81818
MAL,ESP,2008/2009,8,10/26/08 0:00,3,0,76.08695652,70.71428571,72.93103448,75.44444444,68.23076923,71.77777778,72.82352941,71.52941176,76.3,76.08,79.16,78.22727273,73.05555556,75.33333333,75.64285714,64,72.76,79.5,70.57142857,77.63636364,72.9047619,74.125,1.3,0.857142857,30811.54545,32925.63636
VIL,AMA,2008/2009,8,10/26/08 0:00,4,4,81.24,70.71428571,79.47368421,80.13636364,73.80952381,79.76923077,78.14814815,83.28205128,80,81.02702703,73.4,72.94736842,73.18181818,76.67857143,74.63636364,73.8,75.92307692,79,79.22222222,77.96875,79.3125,81.63636364,1.285714286,1.857142857,35866.36364,44031.09091
REA,BIL,2008/2009,8,10/26/08 0:00,3,2,86.95454545,72.33333333,83.52941176,77.33333333,79.80952381,84.75,77.04545455,82,83.44444444,80.7,87.84,76.92,77.76666667,74.2,76.1875,73.08695652,73.53846154,79.16666667,71.26315789,0,73.22222222,80.61904762,2.857142857,0.571428571,25756.27273,
NUM,SAN,2008/2009,8,10/26/08 0:00,2,1,71.14285714,66.92307692,65.31578947,68.5,69.05555556,65.5,66.52941176,74.03846154,0,62.0625,66.79310345,74.44444444,72,74.11764706,72.82758621,68.72222222,73.63157895,76.1,72.59090909,70.90909091,63.85714286,71.59259259,0.714285714,0.571428571,,36265.81818
HUE,VAL,2008/2009,8,10/26/08 0:00,1,1,71.82352941,67.89655172,71.15789474,74,64.6,74.18181818,75.83333333,69.36842105,68.875,0,71.43243243,72.33333333,77.75,80.73076923,76.16666667,74.96296296,80.42105263,77.33333333,78.25,83.58823529,0,84.29166667,0.428571429,1.7,,
GET,VAL,2008/2009,8,10/26/08 0:00,1,0,80.42857143,70.75,77.65625,0,68.36,74.8,74.51851852,76.83333333,73,72.82608696,81.43243243,76.82608696,72.16129032,74.5,69.38888889,70.2,72.48,71.78947368,77.44444444,70.42857143,72.06666667,65.85714286,1.142857143,1.6,,41908.72727
BIL,VIL,2008/2009,9,11/1/08 0:00,1,4,76.92,77.76666667,74.2,76.1875,73.08695652,73.53846154,79.16666667,71.26315789,0,73.22222222,80.61904762,81.24,72.19047619,79.47368421,80.13636364,73.80952381,83.28205128,78.14814815,79.76923077,80,73.4,81.02702703,0.75,1.625,,36166.90909
MAL,BAR,2008/2009,9,11/1/08 0:00,1,4,68.28571429,75.85185185,67.57142857,74.60869565,70.375,74.10714286,70.77777778,67.85714286,73.90625,75.87096774,65.5,83.63636364,84.2,83.57142857,76.42857143,85.88888889,87.63636364,85.02702703,81.44,92.19230769,83.77777778,88.32,1.6,3,36818,41897.63636
AMA,MAL,2008/2009,9,11/1/08 0:00,2,0,72.94736842,71.93333333,76.67857143,75.76190476,73.8,77.96875,75.92307692,79.22222222,79.3125,81.63636364,86.11428571,76.08695652,70.71428571,75.44444444,72.93103448,68.23076923,71.77777778,76.91304348,71.52941176,69.125,79.16,76.3,2.125,1.5,29915.36364,31018.27273
